description,title,date posted
"Senior Full Stack Engineer
    ","You enjoy building clean interfaces and connecting them to backend services. You've built and maintained production-grade features in Python, or have transferable experience in common languages like Node.js and are willing to learn Python.
",
"Senior Data Engineer
    ",Create complex yet maintainable workflows in Prefect using python. Rethink how Python and SQL can work together to tame data challenges. 5+ years of experience in aspects of data engineering. Experience with building SQL based DW systems.,
"Python Engineer
    ","Seeking a Python engineer to work in super teams' which are focused on key areas of our platform as well as other innovative products. This also includes server-side, client-side and mobile engineers working closely with UX experts, copywriters and de...",
"Software Engineer, Integration QA, Python
    ",As a software engineer you will have the opportunity to develop customer facing software as well as the CI pipeline which powers our cloud integration testing and reporting. Upcoming initiatives you will have the opportunity to contribute to...,
"Senior Backend Engineer
    ","We're hiring across multiple teams - our tech stack across all includes Python, Django, PSQL, AWS, CloudFormation, and Ansible. Commercial experience with Python 3. An excellent understanding of relational databases. Understanding of APIs. Remote work. ",
"Senior Data Engineer - Marketing
    ","Design and implement software solutions using Java, Python, and React. Build and maintain real-time streaming applications using Apache Flink and Kafka. Contribute to the development of software architectures and designs. Utilize services to build and...",
"Full-Stack Engineer - Usage Tracking
    ","Design, implement and maintain scalable and robust software solutions using Python (Django). Build and improve our dashboards in React/TypeScript. Collaborate with Product Owners and other stakeholders to find pragmatic solutions to the business problems.",
"Senior Data Scientist I
    ","Concept, plan, and develop tools and strategies to stop fraud attacks. Write production and offline code in Python and SQL to analyze and build tools that allow us to scale. Think creatively to engineer new analyses, algorithms, and models that...",
"Software Engineer
    ","Own the satellite imagery ingest pipeline, microservices, and UI/UX experience for tens of millions of acres of farmland. We're looking for a full-stack generalist with Python and React experience, excellent communication skills, and a growth mindset.",
"Senior Manager Application Developer - GUA Gov Act Informatics
    ","Design and implement a custom GCP data management solution to optimize model performance, incorporating GCP community standards of practice, and including appropriate IAM controls. Convert a large SAS code base to BigQuery and Python running in a GCP...",
"Lead Data Platform Engineer II - Java, J2EE, Python
    ","Leading the implementation of the Adobe Experience Platform. Providing leadership for Digital initiatives/digital transformation for ecommerce leveraging Microservices, open-source frameworks, Cloud technologies. Promoting proper implementation of SAFe...",
"Data Analyst IV
    ","Design, build, and maintain data pipelines on the AWS platform, utilizing services such as S3, EC2, Lambda, cloudformation and RDS. Work with Apache Airflow and manage DAGs to orchestrate data processing and transfers. Write code in Python to extract...",
"Senior Software Engineer - Back End Developer Python
    ","You will be part of a team that combines product managers and engineers focused on conceiving and building amazing products! You will work closely with the product managers, designers, and application engineers to build platform capabilities that meet...",
"Lead Data Engineer - Python, Google Cloud Platform, Big Query
    ","Enable patterns to integrate with on-prem and cloud data assets across the enterprise for data exploration, feature engineering, and analytics needs (GCP bucket storage, BigQuery, Spanner, FHIR Store, Google Healthcare API, SQL, Teradata, Snowflake).",
"HPC Automation Engineering Manager - Python and Linux
    ",This role covers engineering management of a software development team we have created to deliver an outstanding HPC experience - from bare metal to public cloud - as part of the broader Ubuntu platform. We are looking for a range of skills...,
"Adjunct Faculty - R and Python Programming
    ",Seeking enthusiastic individuals to teach R and Phyton programming courses for our online baccalaureate degree program. Courses are online and run for five weeks in eight terms for baccalaureate programs. Master's degree and exp with online teaching. ,
"Associate I, Research Associate
    ","Use raw datasets and code in STATA, SPSS, R, and/or Python to replicate complicated statistical results and evaluate the quality of data and methodological choices made by researchers. Bachelor's degree and 1 year of relevant work experience required. ",
"Senior Financial Engineer
    ","Analyze fixed income instruments to determine appropriate calculations. Setup data, in C#, so our commercial fixed income calculation engine can provide desired data points. Run analysis on outcome and compare to known data providers using Python...",
"Software Engineer
    ","You will write and implement code, perform testing and research, collaborate, teach teammates, and maintain/upgrade systems. Requires 5+ years of experience with software development and working knowledge of Djano/Flask codebase and Python. Remote option.",
"Senior Software Engineer, Data
    ","You'll collaborate with other engineering leaders on all matters that impact the Engineering team, including resourcing and building technology/product vision. 7+ years of experience writing production-level code in Java, Scala, Python, SQL, or R.",
"Full-Stack Engineer
    ","Manage and maintain the large code base. Add features to our serverless API written in Python. Build our customer-facing dashboard in React/TypeScript. Make changes for bespoke customer requirements, ensuring other services to other customers remain...",
"Data Analyst
    ","Analyze public data sets, creating tools and dashboards, and answering questions. Must have a bachelor's degree in statistics or similar area along with 4 yrs of SQL and data analysis experience. Solid Python skills are needed. Remote and flexible hours.",
"Senior Analytics Engineer
    ","Apply software engineering practices to provide clean data sets from the data warehouse to end users. Work primarily with SQL and Python to automate and optimize data loading and transformation systems.
Maintain, operate, and tune data infrastructure...",
"Software Engineer
    ","Design and create new improvements and features, refactor and clean up code, develop web pages and review user needs. Strong skills JavaScript, Python and Django are necessary along with DevOps epp. Fully remote. ",
"Staff Software Engineer, Search
    ","You'll have the opportunity to positively impact those users with your expertise in the services that drive the app's nutrition logging. Majority of the work you will do will be in Scala and Elasticsearch, we also have Java, Ruby, Go, Node and Python.",
"Software Engineer - Cloud Images
    ","Your time will be split between build system development (using Python, Jenkins and shell), implementation of cloud-related features within Ubuntu Server itself, operation of our continuous delivery pipelines, and direct partner engagement. ",
"Senior Data Analyst
    ","Build data visualizations and analysis in mediums including, but not limited to, Tableau dashboards, python notebooks, and repeatable shareable analysis. Identify and share data insights around the observations found from data exploration and...",
"Data Scientist
    ","Help create ETL pipelines in Snowflake, MySQL, Python. Design, build, and maintain the following big-data pipelines in a distributed environment for maximum productivity and scalability: Data engineering; ML development, evaluation and deployment...",
"Engineering Manager - Commercial Systems
    ","We are looking for software engineering managers, ideally with strong background in Go or Python, who have the drive and energy to lead a team of engineers in delivering and operating these capabilities at scale, ensure the highest engineering quality...",
"Lead Software Engineer
    ","Develop/build a technology stack and execute technology strategies. Must have mid/senior-level development and engineering experience and be able to work in JavaScript, Python, PostgreSQL, React, and Django. Remote during the pandemic.",
"Software Engineer II - FullStack
    ","Seeking well rounded software engineer that can switch contexts between building frontend UI components and backend APIs. 3+ years of full stack web development experience, supporting enterprise software applications in Python, javascript, html, Django...",
"Senior Site Reliability Engineer, Americas
    ","Our site reliability engineers bring Python software-engineering skills and rigour to the operations domain. Architect and run OpenStack, Kubernetes and software defined storage. Software Engineering or Computer Science degree.",
" to find remote jobs - no ads, scams, or junk. Find your next flexible, hybrid, or work from home job.",,
"Lead Data Engineer - Python , GCP , BQ
    ","Support the build out of functionality related to the end-to-end ML and feature lifecycle management on the Google Cloud Platform. Will also enable patterns to integrate with on-prem and cloud data assets across the enterprise for data exploration, fea...",
"Financial Analyst - Python
    ","Your focus will be on analytics, blending a data analyst role with an analytics engineer: you'll work across the whole data lifecycle to bring insights to teams such as operations, sales, and marketing.
Work with the leadership team and other functions...",
"Senior Python Software Engineer
    ","Write high quality, rigorously designed Python software. Collaborate proactively with a globally distributed team. Display technical leadership internally and within our external communities. You have a Bachelor's or equivalent in Computer Science...",
"DevOps Software Engineer - Python Development
    ","We are looking for someone who is well-versed in software engineering, experienced with AWS services, and has a passion for streamlining DevOps practices and processes. You'll apply your development talent to design and implement end-to-end...",
"Analyst - SQL, DBT, Metabase, Python
    ",Build and maintain SQL queries to extract data from various data sources and perform data analysis using Pandas. Create and maintain reports in DBT and Metabase to monitor business metrics and KPIs. Use DBT to build data models as a part of data...,
"Senior Software Engineer - MongoDB - Python
    ",Serve as a key contributor and your work will have a significant impact on the product and the broader ecosystem.You are an accomplished senior Python programmer that enjoys challenging projects in mission-critical environments and with infrastructure.,
"Software Engineer - Python and K8s
    ","Work in Python to design and deliver open source software operations code, work across the entire Linux stack, from kernel, networking, storage, to applications, and shape high quality open source monitoring and alerting infrastructure.",
"Full Stack Python Developer
    ","Development Django-based websites using Python, Postgresql, etc. Work with large data sets, including scripting imports, exports, data cleaning, analysis, etc. Write effective, scalable code. Test and debug programs. ",
"Software Engineer - Backend - Python 
    ","Conceiving, designing, building, and launching new user-facing features. Improving the performance and scalability of our GraphQL and REST API. 5+ years building modern back-end systems, with at least 3 years of that experience using Python. 100% Remote.",
"Senior Python Developer
    ","Write simple, well-structured, well-tested code that provides new features and improvements to existing services, using Python, React, JavaScript, Druid, and SQL. Research and integrate best of breed technologies/frameworks/libraries. Ship code to our...",
"Python Software Engineer
    ","Writing clean, well-designed code. Producing detailed specifications. Developing and deploying new features using Agile and similar methodologies. Supporting production processing by troubleshooting and resolving issues that arise around data...",
"Software Engineer - Python
    ","Collaborate proactively with a distributed team. Write high quality code, with unit and functional tests, to create new features. Debug issues and produce high quality code to fix them. Review code produced by other engineers. Discuss ideas and solutions.",
"Senior Python Engineer
    ","Join a distributed team of senior engineers to deliver market-leading software solutions. Must have 5+ years experience as a software engineer and professional Python experience. Full-time, remote position.",
"Senior Python Engineer
    ","Senior engineer needed for a remote position requiring five+ years' software engineering experience, exceptional Python programming skills. Will write and verify code, perform updates and maintenance, conduct regular reviews, ensure compliance. ",
"Senior Python Engineer
    ","Apply software experience to learn about a current data need in Analytics / Forecasting / Marketing, design a solution for it, and then work with the team to implement it. Use Python, Go, Postgres, Kafka, and several parts of AWS. Help make additions.",
"Python, Django Developer
    ","Seeking experienced Python developer to participate in two projects primarily utilizing Python and Django, performing front-end/back-end development. jQuery skills are a big plus, along with solid SQL skills. Full time, long-term, freelance position.",
"Python Developer
    ","Ensure that features are being delivered efficiently and on-time. Participate in architectural review and design. Must have a bachelor's degree and 5 years of experience in software development. Freelance, remote role.",
"Python Developer
    ","Perform coding for backend and frontend, run test automation, and tackle interesting programming problems. Must have three years of experience with Python and good understanding of HTML, SQLAlchemy, and WSGI. Freelance, remote.",
